Month,No. of Banks live on UPI,Volume (in Mn),Value (in Cr.),Date,Volume_Absolute,Value_Absolute_INR,ATS_INR,YoY_Value_Growth_%,YoY_Volume_Growth_%
Sep-20,174,1800.14,329027.66,2020-09-01,1800140000.0,3290276599999.9995,1827.789283055762,103.78711153018494,88.49238759397709
Oct-20,189,2071.62,386106.74,2020-10-01,2071620000.0,3861067400000.0,1863.791332387214,101.7698897689872,80.39813298965481
Nov-20,200,2210.23,390999.15,2020-11-01,2210230000.0,3909991500000.0,1769.0428145487122,106.6274006813646,81.34922914085512
Dec-20,207,2234.16,416176.21,2020-12-01,2234160000.0,4161762100000.0,1862.7860582948401,105.49804869387218,70.75512075817794
Jan-21,207,2302.73,431181.89,2021-01-01,2302730000.0,4311818900000.0,1872.481315655765,99.3969514939607,76.45170188962622
Feb-21,213,2292.9,425062.76,2021-02-01,2292900000.0,4250627600000.0,1853.8216232718391,91.02489046340065,72.95898739524323
Mar-21,216,2731.68,504886.44,2021-03-01,2731680000.0,5048864400000.0,1848.2634862062907,144.54169867614092,119.08825510891532
Apr-21,220,2641.06,493663.68,2021-04-01,2641060000.0,4936636800000.0,1869.1876746457863,226.62533033797789,164.2196144342067
May-21,224,2539.57,490638.65,2021-05-01,2539570000.0,4906386500000.0,1931.9752950302611,124.66003729081154,105.71648440664237
Jun-21,229,2807.51,547373.17,2021-06-01,2807510000.0,5473731700000.0,1949.6748720396365,109.05271258617066,109.99678367603391
Jul-21,235,3247.82,606281.14,2021-07-01,3247820000.0,6062811400000.0,1866.732577544322,108.67543390042181,116.90308275898916
Aug-21,249,3555.55,639116.95,2021-08-01,3555550000.0,6391169500000.0,1797.5192304987977,114.24761842314379,119.63702179969485
Sep-21,259,3654.3,654351.81,2021-09-01,3654300000.0,6543518100000.001,1790.6351695263118,98.874407701772,103.0008777095115
Oct-21,261,4218.65,771444.98,2021-10-01,4218649999.9999995,7714449800000.0,1828.6536688277058,99.80096177549245,103.6401463588882
Nov-21,274,4186.48,768436.11,2021-11-01,4186479999.9999995,7684361100000.0,1835.5184068716442,96.53140166672998,89.41377141745429
Dec-21,282,4566.3,826848.22,2021-12-01,4566300000.0,8268482200000.0,1810.7619297899832,98.67743521428099,104.38554087442262
Jan-22,297,4617.15,831993.11,2022-01-01,4617150000.0,8319931100000.0,1801.962487681795,92.9564133595685,100.50765830123373
Feb-22,304,4527.49,826843.0,2022-02-01,4527490000.0,8268430000000.0,1826.2723937545968,94.52256885547914,97.45693226917878
Mar-22,314,5405.65,960581.66,2022-03-01,5405650000.0,9605816600000.0,1776.9956619462969,90.2569734295102,97.88738065952087
Apr-22,316,5583.05,983302.27,2022-04-01,5583050000.0,9833022700000.0,1761.227769767421,99.1846493547996,111.39428865682719
May-22,323,5955.2,1041520.07,2022-05-01,5955200000.0,10415200700000.0,1748.9254265180011,112.2784395399751,134.49639112133158
Jun-22,330,5862.75,1014384.31,2022-06-01,5862750000.0,10143843100000.0,1730.2192827597971,85.31860266370015,108.8238332187597
Jul-22,338,6288.4,1062991.76,2022-07-01,6288400000.0,10629917600000.0,1690.4009923032886,75.32984120205354,93.61910450702318
Aug-22,346,6579.63,1072792.68,2022-08-01,6579630000.0,10727926800000.0,1630.475695441841,67.85545744014456,85.05238289434827
Sep-22,358,6780.8,1116438.1,2022-09-01,6780800000.0,11164381000000.0,1646.4695906087777,70.61740839381186,85.55674137317682
Oct-22,365,7305.42,1211582.51,2022-10-01,7305420000.0,12115825100000.0,1658.4707107873332,57.053651447702734,73.16961587237626
Nov-22,376,7309.45,1190593.39,2022-11-01,7309450000.0,11905933899999.998,1628.8412808077212,54.937199658667765,74.59655844528102
Dec-22,382,7829.49,1282055.01,2022-12-01,7829490000.0,12820550100000.0,1637.4693753999302,55.0532466526928,71.46245318967217
Jan-23,385,8036.89,1298726.62,2023-01-01,8036890000.0,12987266200000.002,1615.9566946916036,56.09824220779907,74.0660364077407
Feb-23,390,7534.76,1235846.62,2023-02-01,7534760000.0,12358466200000.002,1640.193742070086,49.465693003387614,66.42245482596316
Mar-23,399,8685.3,1410443.01,2023-03-01,8685300000.0,14104430100000.0,1623.9427653621638,46.832181867807044,60.67077964722096
Apr-23,414,8863.26,1415504.71,2023-04-01,8863260000.0,14155047100000.0,1597.0474859137607,43.95417901353975,58.753011346844474
May-23,445,9415.19,1489145.44,2023-05-01,9415190000.0,14891454400000.0,1581.6414113788462,42.97808394609237,58.10031569048899
